16081,20,,,,,,,,,,,,,,,,,,,
CCG1,CCG2,CCG3,CCG4,CCG5,CCG6,CCG7,CCG8,CCG9,CCG10,CCG11,CCG12,CCG13,CCG14,CCG15,CCG16,CCG17,CCG18,CCG19,CCG20,ZYGOSITY
909,934,893,938,906,1652,31175,1080,958,964,895,862,881,909,911,885,965,881,969,1168,HOMO
72,79,54,125,134,411,9575,170,717,9621,88,83,81,67,64,59,80,69,80,190,HETERO
113,77,142,183,180,441,9510,919,16242,426,138,179,148,139,136,130,130,148,150,263,HETERO
43,38,50,223,344,821,19238,426,2216,29733,117,75,75,58,73,64,55,54,62,168,HETERO
34,37,32,86,102,389,10495,75,76,368,42,45,41,44,36,42,32,49,43,61,HOMO
137,146,154,225,187,417,7459,178,171,159,166,153,149,157,147,185,143,151,173,159,HOMO
78,81,84,208,285,1327,40795,171,163,153,108,106,87,82,91,102,107,94,93,203,HOMO
231,207,231,229,253,487,9877,216,224,230,200,182,205,182,216,206,235,200,186,215,HOMO
28,26,27,55,63,199,5676,285,5203,75,38,43,18,47,24,31,21,37,39,82,HETERO
23,37,17,77,128,732,21351,89,89,91,30,40,27,47,31,26,34,26,37,70,HOMO
39,33,41,74,76,483,8344,103,76,159,40,33,47,42,45,35,40,42,39,90,HOMO
65,62,59,97,116,430,11561,124,90,107,78,75,53,71,80,52,69,70,71,151,HOMO
102,89,97,106,175,424,12490,114,115,127,90,94,106,91,92,101,99,112,103,161,HOMO
89,69,99,146,166,838,24874,201,144,185,106,70,112,72,86,80,120,77,79,161,HOMO
61,77,85,188,217,1113,35437,224,214,188,87,87,83,90,69,67,82,85,84,213,HOMO
81,57,61,109,150,752,22606,145,128,158,62,82,76,78,65,62,63,63,60,148,HOMO
97,125,103,116,163,337,5628,196,603,8115,118,111,115,146,119,121,79,105,107,190,HETERO
103,124,123,230,346,795,15537,512,1857,28763,198,174,183,167,140,132,131,159,174,458,HETERO
19,42,92,151,273,1170,21296,219,99,304,26,20,50,35,34,24,36,34,34,66,HOMO
110,116,118,264,386,1541,45529,251,234,293,140,166,143,143,131,155,156,138,117,291,HOMO
114,152,154,169,196,684,17693,216,185,193,139,160,143,129,158,145,149,132,144,187,HOMO
265,259,256,370,419,1353,39946,416,385,425,283,306,285,289,267,284,268,279,304,398,HOMO
79,82,100,167,280,1064,27520,397,1510,23027,171,144,117,124,104,101,108,102,113,249,HETERO
86,67,74,85,105,145,1734,134,274,3408,80,111,73,82,79,64,61,64,104,93,HETERO
44,43,59,128,185,599,11838,216,1165,16105,80,79,79,49,63,76,68,52,63,79,HETERO
76,88,85,203,285,1185,39206,167,150,174,104,114,119,71,92,91,92,86,91,134,HOMO
160,154,150,191,220,783,21588,235,172,199,131,175,135,140,143,138,131,155,137,177,HOMO
254,258,232,347,363,941,22544,332,279,338,262,258,299,271,243,240,281,265,311,266,HOMO
114,113,145,401,629,2517,75271,310,369,390,149,233,193,203,192,180,172,152,147,243,HOMO
35,54,52,403,571,2839,93302,278,367,362,77,128,100,85,76,64,64,63,75,209,HOMO
33,36,40,110,172,674,19812,195,1049,18062,70,46,68,36,39,32,48,47,47,119,HETERO
1133,1126,1120,1187,1231,1477,9965,1300,2025,16093,1123,1153,1170,1143,1117,1161,1139,1163,1095,1176,HETERO
47,46,54,153,197,1023,32456,150,137,163,62,67,89,72,63,66,73,45,59,97,HOMO
43,51,55,283,460,2327,77576,311,379,369,107,126,118,123,98,81,92,116,111,244,HOMO
340,361,354,353,369,531,6975,742,7954,403,366,337,354,348,338,356,340,358,322,355,HETERO
134,144,130,250,306,1062,35645,233,167,241,127,147,129,160,133,133,95,130,135,215,HOMO
177,176,170,184,206,343,6327,201,185,210,162,156,141,173,166,182,187,174,172,170,HOMO
476,490,530,655,747,1882,46589,670,567,713,502,565,555,503,514,485,481,508,551,782,HOMO
21,35,28,61,67,342,10707,92,80,60,35,32,40,30,29,35,41,39,61,139,HOMO
512,566,472,502,563,915,13163,577,548,533,486,492,496,538,504,471,509,458,504,592,HOMO
102,105,97,149,152,464,13439,546,8321,1587,112,127,96,110,115,110,99,112,117,169,HETERO
22,20,23,46,62,383,11636,73,40,83,24,31,22,23,26,12,24,32,24,82,HOMO
40,41,41,47,46,209,7124,299,6384,1195,42,33,51,53,49,28,42,36,40,39,HETERO
16,17,9,75,109,575,19665,66,63,77,13,26,27,26,16,15,16,15,22,76,HOMO
49,64,64,194,358,1018,28497,426,2481,39731,149,92,80,68,72,72,71,76,59,198,HETERO
167,153,165,315,427,1644,46832,334,242,347,186,183,176,182,176,165,188,158,207,280,HOMO
194,196,191,264,280,458,5836,296,948,12794,225,218,200,198,219,177,177,170,232,264,HETERO
95,87,88,221,266,1350,42209,204,173,225,113,82,98,105,116,92,82,92,72,151,HOMO
60,71,65,117,155,654,21337,166,118,146,61,95,93,81,59,66,58,52,68,193,HOMO
112,100,126,179,216,1011,23661,280,212,447,114,143,142,118,132,135,118,113,132,266,HOMO
115,95,102,217,258,1310,42422,335,210,284,96,163,127,126,98,131,135,129,160,373,HOMO
114,111,149,225,322,1300,33494,590,2225,35560,265,189,208,132,142,144,148,154,208,638,HETERO
35,44,41,119,176,823,25559,157,120,115,54,66,65,60,47,50,50,67,72,191,HOMO
179,96,127,353,1190,9768,243690,1220,485,1179,438,316,276,195,131,110,84,79,91,166,HOMO
73,41,73,358,773,6325,103125,1183,627,3930,41328,217,107,236,106,119,164,150,177,307,HETERO
109,98,115,193,549,4091,107755,1397,7595,108104,464,169,254,123,99,75,58,72,72,182,HETERO
138,145,165,268,683,2989,29037,889,2519,33568,372,262,262,222,181,149,170,127,141,287,HETERO
116,70,91,228,697,5306,110499,786,283,687,267,284,200,155,114,88,83,62,73,128,HOMO
134,71,72,293,866,7499,169607,953,343,712,229,141,134,129,88,75,66,57,74,180,HOMO
167,155,264,401,829,4273,51112,887,381,781,336,279,277,244,204,163,182,166,185,268,HOMO
126,67,100,308,947,6433,104085,1012,371,1001,464,402,360,259,213,146,117,102,92,218,HOMO
37,28,18,16,67,1063,34063,111,60,145,53,27,15,20,25,28,37,32,44,96,HOMO
26,10,28,116,236,1747,27132,260,88,354,147,80,47,45,37,23,22,24,18,47,HOMO
42,55,92,221,441,2583,28181,339,156,450,166,172,150,100,65,54,61,51,43,88,HOMO
573,613,698,1015,1495,3027,14911,1030,1897,16176,748,690,633,601,603,636,651,579,592,689,HETERO
121,131,126,294,607,3696,64145,1084,3843,52157,397,219,243,149,147,105,112,95,98,159,HETERO
207,203,208,575,1690,7727,97509,9301,134985,27273,882,810,687,472,366,243,215,205,199,412,HETERO
306,194,235,383,1351,12175,350248,1180,466,1093,298,214,229,161,117,98,115,91,116,190,HOMO
65,61,95,173,451,3051,56620,495,269,569,220,190,148,143,112,71,75,88,76,125,HOMO
238,278,302,766,2038,10426,138528,3033,11719,165216,1429,889,1182,614,449,332,308,263,248,578,HETERO
31,30,42,100,315,1671,28571,450,1720,25818,155,102,125,70,62,60,43,32,37,64,HETERO
138,151,422,1091,2048,12317,104610,1731,743,2357,974,924,690,475,370,295,227,226,194,351,HETERO
219,115,116,401,1281,9790,225994,1342,534,1150,404,351,260,213,190,134,118,88,100,175,HOMO
421,418,754,1861,3283,5528,23656,1281,4447,60922,581,387,454,377,314,310,324,319,295,386,HETERO
326,301,376,581,1156,4908,66490,965,783,897,484,493,438,408,380,355,312,342,332,457,HOMO
707,746,782,1208,2086,6517,45388,4011,44563,1454,916,976,878,847,788,741,737,752,692,925,HETERO
254,248,323,582,1409,7040,106466,1465,743,1157,604,612,541,457,422,378,334,297,313,524,HOMO
286,95,166,422,1074,8627,159582,1182,479,1345,485,425,355,285,214,188,121,140,121,245,HOMO
200,152,185,343,1001,5586,102930,1030,514,833,393,366,384,324,242,192,176,182,191,302,HOMO
131,66,79,157,392,2401,40261,723,2643,39429,278,156,187,119,76,97,67,62,57,88,HETERO
77,67,142,589,915,6266,77523,1042,296,816,203,144,113,77,80,92,115,87,127,210,HOMO
63,18,39,61,242,2917,61525,532,214,840,39,47,26,28,31,29,29,15,24,55,HOMO
67,22,88,133,628,4145,77946,698,258,668,334,285,229,167,128,103,84,74,69,165,HETERO
144,146,395,1168,1983,11868,83082,1425,659,2106,854,873,647,412,311,202,165,160,150,240,HETERO
86,84,174,442,829,5448,50193,720,330,1160,353,370,261,181,124,78,59,62,52,119,HOMO
416,397,445,667,939,2204,13628,645,1266,13890,480,404,471,437,447,401,356,385,423,405,HETERO
49,14,18,29,80,1188,37480,131,59,89,24,33,27,29,29,32,44,45,45,110,HOMO
122,138,310,552,1137,5988,50561,999,491,1198,482,435,336,266,214,176,154,152,168,287,HETERO
185,118,30,35,33,302,8571,54,17,36,7,3,11,6,10,13,10,9,9,25,HOMO
41,29,35,78,223,1783,42989,255,111,423,85,76,53,38,28,31,26,27,16,30,HOMO
389,453,375,1131,3107,14829,204422,5563,22758,323991,2010,1074,1373,707,488,383,315,331,323,680,HETERO
565,380,335,671,1765,7384,104457,2811,10193,136332,1007,654,756,513,386,317,316,298,310,484,HETERO
150,138,177,552,1229,7799,121828,7512,113650,20607,734,622,605,323,257,175,146,119,111,193,HETERO
